koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_steff,koi_srad,koi_kepmag
FALSE POSITIVE,96.231257,217.00033,2.488,9.38E+02,29.26,8.8,4895,9.529,13.648
FALSE POSITIVE,30.5528701,143.348399,5.3367,6.35E+04,63.57,510.8,6441,1.165,16.245
CONFIRMED,26.2347447,141.99379,3.536,1.97E+02,2.76,22,6297,1.369,13.147
CONFIRMED,160.8845197,277.504342,10.8771,7.59E+03,9.09,526.1,5650,1.044,12.888
FALSE POSITIVE,4.04506346,132.232226,3.22222,3.60E+05,67.94,483.9,5780,1,17.705
CONFIRMED,141.2415405,256.205347,6.7645,1.30E+04,11.49,380.9,5705,1.017,14.524
CONFIRMED,217.8318429,238.820035,21.306,9.15E+03,11.17,1244.4,6259,1.167,11.69
CANDIDATE,16.0988294,131.8764,5.686,1.60E+02,1.14,10.9,5657,0.911,14.55
FALSE POSITIVE,1.433262145,132.822323,5.6316,1.85E+03,5.67,159.3,5977,1.068,14.888
FALSE POSITIVE,0.782046543,131.674244,1.9874,3.40E+05,43.07,534,4768,0.591,16.784
FALSE POSITIVE,5.663604992,133.892182,1.4283,1.63E+05,54.55,169.4,5780,1,17.93
FALSE POSITIVE,18.07661035,146.256704,3.1396,6.53E+04,39.16,380.6,4848,0.764,16.636
FALSE POSITIVE,6.47173281,136.35537,7.1964,6.47E+03,13.68,94.5,6318,1.685,14.35
FALSE POSITIVE,1.031100362,131.87473,2.9759,1.29E+05,27.35,178.5,5666,0.752,17.022
FALSE POSITIVE,0.597933142,131.95669,3.47133,2.84E+05,63.46,1490.3,5780,1,16.377
FALSE POSITIVE,5.36652724,134.86398,8.367,3.12E+03,7.97,50.7,5858,0.849,15.48
FALSE POSITIVE,1.540392098,131.9989,3.7271,1.02E+03,17.63,87.2,4911,0.724,14.449
CONFIRMED,47.1484324,175.2689,3.1347,1.11E+03,2.58,54.5,4975,0.734,12.86
CONFIRMED,2.50475282,133.63645,2.376,1.81E+02,1.48,18.9,5509,1.116,14.523
CONFIRMED,59.3627946,184.14711,13.972,2.34E+02,2.23,51.5,5786,1.471,12.07
CANDIDATE,247.891041,133.92838,18.363,9.57E+02,4.74,34.6,6121,1.536,14.948
FALSE POSITIVE,2.199076661,133.06147,6.11,7.77E+02,21.72,56.2,5310,0.791,15.339
CONFIRMED,1.79110997,131.95636,2.0917,1.68E+02,1.29,24.3,6040,0.999,14.496
FALSE POSITIVE,7.77241144,132.58122,5.272,2.87E+02,1.69,18.9,6014,0.993,15.327
CANDIDATE,1.99469354,131.5639,5.297,7.51E+01,0.46,8.9,3799,0.51,15.846
CONFIRMED,10.51421162,134.56738,3.877,8.54E+01,1.25,21.6,6259,1.167,11.69
FALSE POSITIVE,11.34434745,138.811996,5.9738,2.58E+05,62.52,437.2,5780,1,17.953
CONFIRMED,214.3120439,336.330158,16.2938,4.52E+03,9.17,562.8,6471,1.357,12.04
FALSE POSITIVE,0.876826336,132.0647202,3.6097,1.38E+05,37.24,1338.1,6344,0.962,12.29
FALSE POSITIVE,208.8690972,273.692419,4.5707,2.13E+04,29.95,413.8,5914,0.987,14.461
CONFIRMED,7.2593226,131.71082,6.1394,2.48E+02,1.57,40.1,5914,0.987,14.461
FALSE POSITIVE,1.98663794,133.311523,4.7585,6.32E+04,134.5,193,9191,2.619,14.726
FALSE POSITIVE,13.54208867,144.00206,4.9406,2.89E+04,26.65,137.6,5496,0.927,16.9
FALSE POSITIVE,7.549303633,135.010802,2.3665,1.02E+04,34.45,177,5402,0.815,15.992
FALSE POSITIVE,0.77544539,132.072938,1.8764,6.79E+03,35.53,205.1,5861,0.865,15.64
CANDIDATE,164.950399,280.9154,30.86,2.45E+04,11.23,65.7,5001,0.664,15.473
FALSE POSITIVE,308.255238,282.4555,11.959,6.37E+02,18.98,13.8,4852,7.797,13.444
FALSE POSITIVE,3.46724809,133.90269,11.01,1.32E+03,2.52,107,4969,0.543,15.889
FALSE POSITIVE,7.4413445,137.3429,2.8754,2.23E+03,43.5,66.4,6540,1.183,14.114
FALSE POSITIVE,4.618309224,135.85023,3.6752,1.19E+03,25.43,68.5,5452,0.815,15.757
FALSE POSITIVE,0.677761275,131.625946,3.7085,8.78E+02,22.15,120.8,5699,0.853,14.382
FALSE POSITIVE,2.845739012,134.279738,11.9327,2.44E+04,44.7,488.6,5982,0.96,15.362
FALSE POSITIVE,175.358905,212.2454,5.34,2.15E+02,2.9,9.1,5109,2.02,13.385
CANDIDATE,0.582895412,131.621083,1.0528,5.88E+02,5.87,87,6263,1.009,14.972
CANDIDATE,0.496069986,132.28138,1.5568,1.29E+02,10,22.1,5096,8.769,15.357
FALSE POSITIVE,12.42618005,141.50486,28.1949,1.52E+03,3.48,113.1,4624,0.684,15.889
FALSE POSITIVE,2.189090653,132.08535,5.2094,1.03E+03,23.25,78.3,5401,0.777,15.875
CONFIRMED,5.33905606,132.14193,1.6415,7.56E+02,1.9,28.9,5057,0.704,15.362
FALSE POSITIVE,1.99492332,133.4406,5.898,7.77E+01,0.94,11.1,5957,0.971,15.634
CONFIRMED,23.2218115,151.06904,2.744,2.10E+02,2.42,16.9,5808,1.374,14.128
FALSE POSITIVE,3.351573993,134.28062,2.8758,5.45E+04,24.15,192.4,5984,1.033,17.279
FALSE POSITIVE,8.097050622,138.423529,5.6736,6.56E+04,24.01,404.9,5753,0.894,16.474
FALSE POSITIVE,2.119107262,132.58903,7.5384,1.25E+05,77.23,347.3,6381,1.423,15.812
CANDIDATE,5.24088367,136.02877,3.3656,8.53E+03,12.74,385.7,6452,1.305,14.014
FALSE POSITIVE,0.887691177,132.36711,1.644,3.73E+01,1.53,20.8,5500,2.491,12.386
CONFIRMED,142.545,202.88,8.75,9.05E+02,2.52,13.7,5642,0.846,15.99
CONFIRMED,240.7990472,334.14037,16.666,5.02E+03,10.31,170.1,5758,1.385,14.822
FALSE POSITIVE,0.888584158,132.100098,2.25012,4.13E+05,43.7,691.2,4324,0.616,17.375
FALSE POSITIVE,0.865959015,132.053694,1.9058,2.91E+05,144.5,620.8,4561,0.469,16.44
FALSE POSITIVE,0.594276199,131.835238,2.0188,2.21E+05,266.99,285.2,4756,0.667,15.985
FALSE POSITIVE,1.527491117,132.259806,7.9136,3.35E+04,27.85,298.6,4273,0.595,15.935
FALSE POSITIVE,0.566814046,131.79379,4.049,4.21E+01,0.56,23.8,5724,0.827,14.225
FALSE POSITIVE,0.61496383,132.022402,1.93053,3.58E+05,44.79,806.5,4509,0.663,17.453
FALSE POSITIVE,161.253747,189.0939,25.322,2.60E+03,4.98,54.7,5570,0.803,15.397
FALSE POSITIVE,2.974163938,132.49312,1.7423,9.03E+04,34.74,88.6,5780,1,19.294
FALSE POSITIVE,15.84131693,145.4595,1.8156,2.62E+03,670.04,38.2,4993,19.695,13.724
CANDIDATE,6.13074243,131.85782,2.84,1.46E+02,1.26,9.9,5741,0.833,14.523
CONFIRMED,9.2075634,135.801,3.365,1.24E+03,5.5,43.4,5678,1.303,14.026
CONFIRMED,2.5903958,132.3011,2.088,3.31E+02,2.55,18.3,5678,1.303,14.026
CONFIRMED,5.3235335,133.0952,2.714,3.42E+02,2.69,14.6,5678,1.303,14.026
FALSE POSITIVE,0.831741499,132.074741,2.297,1.23E+03,41.62,110.9,6343,1.14,15.61
FALSE POSITIVE,4.44737112,133.84048,19.45,2.24E+02,2.06,93,5472,0.981,14.016
FALSE POSITIVE,12.89301802,141.611199,3.30029,1.60E+04,62.52,453,6387,1.408,15.517
CANDIDATE,5.44085762,134.29408,2.119,1.38E+02,0.97,9.3,5519,0.762,14.81
FALSE POSITIVE,4.532416322,135.6589,3.2864,3.50E+04,62.25,175.6,6306,1.281,16.028
FALSE POSITIVE,2.26631937,133.3865546,3.16,,,,,,16.028
FALSE POSITIVE,1.160153553,132.145331,2.16452,1.23E+04,60.47,552.8,6200,1.382,15.149
FALSE POSITIVE,4.032760214,133.301891,2.7194,1.08E+04,378.61,150.9,4969,9.433,14.734
FALSE POSITIVE,3.723552982,134.94613,3.5632,4.01E+04,18.83,145.7,6063,0.89,16.72
CANDIDATE,6.714247798,134.31703,3.3304,3.22E+04,14.78,145.9,5159,0.8,17.376
FALSE POSITIVE,2.21396079,132.5689,3.452,1.19E+02,0.87,9.6,4922,0.823,15.844
FALSE POSITIVE,11.35501209,133.20478,14.557,1.97E+04,8,221.4,4594,0.567,14.772
FALSE POSITIVE,1.195515251,132.303851,5.0834,8.05E+03,49.33,309.1,6040,1.155,13.998
CANDIDATE,2.60720833,131.84844,2.6452,3.15E+03,7.31,185.3,6366,1.236,14.103
FALSE POSITIVE,5.80184753,131.77347,3.9551,2.21E+04,14,118.1,5687,0.921,16.605
FALSE POSITIVE,2.38404983,133.43927,3.2849,3.13E+05,66.14,195.3,5780,1,19.319
FALSE POSITIVE,5.24078259,136.54913,5.238,5.93E+02,24.73,58.1,6192,0.917,14.483
FALSE POSITIVE,5.26641416,131.69998,2.4404,2.24E+02,2.62,37.8,6338,1.602,12.859
CONFIRMED,1.847892736,132.19915,1.8904,3.23E+02,1.51,53.3,5763,0.842,14.216
FALSE POSITIVE,0.604358764,131.68577,1.0423,3.87E+04,23.28,236.8,3569,0.427,16.182
FALSE POSITIVE,11.3775281,132.5848,12.918,1.65E+03,82.26,38.2,6943,1.66,13.93
FALSE POSITIVE,0.7981968,131.570334,2.22035,2.58E+05,62.38,453.9,5780,1,17.579
FALSE POSITIVE,0.695954898,131.89905,1.469,3.18E+02,2.58,8.5,6737,1.425,13.496
FALSE POSITIVE,0.948951607,132.468516,4.3809,4.58E+05,115.31,437.1,5780,1,18.241
FALSE POSITIVE,19.37070781,147.66803,2.2466,6.53E+02,108.54,38.4,5321,4.335,12.956
FALSE POSITIVE,14.46993942,141.81105,7.455,1.24E+03,85.84,41.9,4735,9.043,14.962
FALSE POSITIVE,1.278555003,131.529071,1.4247,1.48E+03,5.19,93.8,5636,0.827,15.643
CONFIRMED,1.226223959,132.6827,2.1689,5.61E+01,1,18.9,5855,1.34,13.8
FALSE POSITIVE,2.244600029,133.46529,1.9204,8.61E+03,27.47,42.6,5256,0.802,14.731
FALSE POSITIVE,181.8521773,251.877795,5.7725,2.76E+04,46.38,293.8,6063,1.012,15.684
FALSE POSITIVE,223.1127475,140.947135,8.9683,1.15E+04,46.33,224.5,6211,1.056,14.38
FALSE POSITIVE,15.64064161,140.08502,6.4524,2.73E+05,77.18,206.3,6517,1.374,18.231
CONFIRMED,6.8873113,132.0711,2.214,8.53E+01,0.72,8.1,5208,0.772,12.957
FALSE POSITIVE,1.103978,131.573418,0.74,,,,,,17.362
FALSE POSITIVE,43.8496474,157.7544,2.217,4.52E+02,21.42,8.3,4893,10.363,13.457
FALSE POSITIVE,0.752158047,131.793035,2.42733,3.79E+04,106.66,510,5770,2.221,14.082
FALSE POSITIVE,3.796488133,135.15079,11.0659,3.01E+03,40.83,193.4,6137,1.018,15.534
CANDIDATE,17.7476059,139.3464,5.066,8.77E+02,146.63,7.6,8992,4.832,11.5
FALSE POSITIVE,1.233076007,132.49795,12.506,1.39E+03,31.39,129.3,5602,0.817,15.402
FALSE POSITIVE,21.5135234,132.3356,77.983,1.58E+03,534.47,171.5,5088,3.318,10.63
FALSE POSITIVE,19.4444573,147.9093,5.509,1.82E+02,1.53,7.1,6278,1.081,15.835
FALSE POSITIVE,1.1910489,132.076408,1.3738,1.39E+03,22.76,46.1,5089,0.693,15.637
FALSE POSITIVE,0.546248198,131.585311,2.1081,1.15E+05,54.23,263.1,5780,1,18.55
CANDIDATE,2.18565886,132.45418,1.966,3.56E+01,0.44,11.1,4997,0.746,12.906
FALSE POSITIVE,1.811966339,132.27828,3.792,4.08E+02,95.19,36.3,5904,3.348,13.493
FALSE POSITIVE,66.1539783,156.97153,5.896,6.95E+03,9.69,57.7,6077,0.999,15.52
FALSE POSITIVE,158.3226379,251.75032,2.1881,4.86E+03,25.41,34.5,4340,0.572,15.557
CONFIRMED,3.93276627,134.64964,2.9403,2.35E+02,1.5,30.7,5688,0.971,14.534
CONFIRMED,198.680859,270.66535,8.282,6.45E+02,2.79,16.6,5330,1.013,15.001
FALSE POSITIVE,1.592634161,132.328769,8.9488,1.55E+05,100.2,1207.6,6574,1.768,14.915
FALSE POSITIVE,3.31577795,131.53883,4.2349,9.46E+04,27.77,124.6,5528,0.849,17.772
FALSE POSITIVE,2.990252395,133.110629,7.8462,2.16E+05,89.85,541.7,5780,1,17.9
FALSE POSITIVE,2.08043378,131.827041,7.708,6.86E+03,510.48,289.1,6377,1.119,13.858
FALSE POSITIVE,4.944046127,134.192012,4.50334,1.13E+05,54.29,537.2,5780,1,16.237
FALSE POSITIVE,4.464565251,132.311502,4.0221,7.41E+04,43.21,286.4,5743,0.853,17.296
FALSE POSITIVE,1.523298835,132.32762,5.9083,1.95E+05,38.95,174.4,5311,0.866,17.38
FALSE POSITIVE,3.539631353,132.774997,1.5372,1.23E+03,39.34,163.5,7021,2.629,12.305
FALSE POSITIVE,6.195861785,134.23422,2.6078,3.51E+03,215.89,83.5,5608,0.813,15.431
FALSE POSITIVE,0.566805514,131.8162,4.367,8.53E+01,0.82,25.1,5115,0.917,14.943
FALSE POSITIVE,27.961084,133.1759,3.8741,6.27E+03,21.5,106,6770,1.361,14.069
FALSE POSITIVE,186.5168116,169.64687,3.1968,5.75E+03,37.5,126.9,5018,2.99,13.529
FALSE POSITIVE,197.1455327,300.176978,2.1145,5.66E+03,72.16,56.8,7214,1.935,12.962
FALSE POSITIVE,0.532087933,131.972409,3.45028,5.10E+05,74.83,1069.5,5780,1,18.852
FALSE POSITIVE,3.204222652,133.82223,2.7952,8.98E+02,23.55,45.5,5139,0.741,15.341
FALSE POSITIVE,0.687898282,131.595979,3.96401,2.94E+05,55.58,1571.6,5780,1,17.49
FALSE POSITIVE,2.178154774,132.02433,3.5302,6.63E+02,19.46,89.2,5515,0.712,14.489
FALSE POSITIVE,0.99466172,131.63284,1.576,1.37E+03,31.84,21.5,5750,1.021,14.997
FALSE POSITIVE,359.00688,295.8649,32.16,2.02E+03,28.57,35.3,5715,0.834,15.164
CONFIRMED,1.138548215,132.46205,2.1482,6.62E+01,1.45,31.5,6520,1.713,13.194
FALSE POSITIVE,121.0598037,159.3454,3.112,1.56E+03,1680.99,16.6,3942,60.688,13.353
FALSE POSITIVE,0.721335207,131.57505,1.509,3.18E+01,0.54,12,6328,0.948,13.982
FALSE POSITIVE,3.28274272,132.64464,8.9,2.93E+02,1.85,68.2,5741,0.82,14.518
FALSE POSITIVE,1.231361934,131.80783,5.433,4.71E+02,2.93,94.7,6095,1.016,15.277
CONFIRMED,89.7224125,163.15815,10.963,2.64E+02,2.21,25.6,6429,1.262,13.838
CONFIRMED,7.12766417,136.00586,2.491,2.29E+02,1.21,16,5159,0.821,14.839
FALSE POSITIVE,2.080431782,131.827995,7.4997,8.94E+05,345.7,1585.2,8344,2.115,16.448
CANDIDATE,3.52364689,134.1864,3.439,7.42E+01,0.94,8.5,6269,1.085,14.46
FALSE POSITIVE,1.157804607,132.448327,4.66082,6.06E+05,118.11,1837.9,6510,1.425,14.62
FALSE POSITIVE,19.979098,137.14659,10.5638,3.84E+04,22.98,449.1,5907,1.126,16.299
FALSE POSITIVE,1.433262401,132.822635,6.2205,4.29E+05,136.47,599.8,7311,1.959,17.719
FALSE POSITIVE,23.8706941,136.9568,3.4812,6.39E+03,49.6,114.8,6022,1.166,14.219
CANDIDATE,4.78850084,135.4574,2.099,6.65E+01,0.63,7.2,5208,0.772,12.957
FALSE POSITIVE,0.566769068,131.8681,3.011,4.00E+01,1.06,14.9,5496,1.533,14.447
FALSE POSITIVE,6.2820426,131.58905,7.941,1.41E+03,23.76,103.3,6635,3.798,11.059
FALSE POSITIVE,0.97430309,132.390205,2.1088,3.50E+04,37.62,224,5688,0.786,15.783
CANDIDATE,141.7340306,167.345982,1.5851,7.74E+03,10.3,157.4,5606,0.918,13.891
FALSE POSITIVE,119.686505,176.0608,29.33,8.43E+02,23,27.1,5715,0.834,15.164
FALSE POSITIVE,53.556625,184.4892,16.18,3.96E+03,26.31,22.1,7643,3.618,11.142
CANDIDATE,433.220461,271.04277,2.725,7.25E+02,2.07,9.5,5232,0.777,14.546
CONFIRMED,1.210693626,132.39306,1.434,1.59E+02,0.99,41.6,5014,0.756,12.914
CONFIRMED,1.090011003,131.58066,1.5,1.75E+02,1.04,12.6,5081,0.77,15.753
CANDIDATE,18.2572722,134.44527,3.434,1.58E+02,0.94,17.3,5014,0.756,12.914
CONFIRMED,34.2115022,154.57508,4.947,2.74E+02,1.15,20.7,4955,0.721,14.017
FALSE POSITIVE,7.061149921,134.558528,3.33515,1.31E+05,43.71,631.5,5585,0.798,17.115
FALSE POSITIVE,2.682767439,131.570648,4.58143,3.94E+05,70.67,508.4,5780,1,17.743
FALSE POSITIVE,3.711012492,132.488455,3.3394,7.56E+03,46.24,257.4,6141,1.117,13.789
FALSE POSITIVE,1.780982447,131.520134,3.4297,3.58E+05,60.45,324,5780,1,16.485
FALSE POSITIVE,1.815632406,131.9113803,3.35773,6.16E+04,108.78,1413.9,9954,2.408,14.42
FALSE POSITIVE,205.5833309,234.746256,6.0353,2.49E+04,42.69,216.1,6328,0.915,15.247
FALSE POSITIVE,4.309067482,134.71445,2.21,2.36E+04,101.41,82,4897,0.789,16.77
FALSE POSITIVE,36.4721523,159.7848,2.673,5.26E+01,0.7,7.7,5853,0.895,11.894
FALSE POSITIVE,111.0396205,161.93506,25.751,9.36E+03,8.6,201.9,5470,0.777,14.587
FALSE POSITIVE,3.187087241,132.8582,7.2897,1.29E+05,928.96,197,4599,23.673,16.988
FALSE POSITIVE,1.023470248,131.703274,2.3804,1.30E+05,100.39,262.2,5780,1,17.506
FALSE POSITIVE,0.875267982,132.03224,1.6038,1.17E+04,39.19,44.9,5821,0.898,15.207
FALSE POSITIVE,5.55260695,132.08428,4.1178,7.28E+02,2674.69,60.7,3306,116.965,9.687
FALSE POSITIVE,2.347479696,133.67205,26.25,8.20E+04,60.5,261.1,5891,1.138,14.177
FALSE POSITIVE,1.13353095,132.4414,3.17,1.85E+01,0.49,11.1,6318,1.121,13.145
FALSE POSITIVE,0.890745373,131.884401,1.9215,1.20E+05,36.92,239.6,5780,1,18.59
CONFIRMED,440.7843755,139.3535,21.693,2.58E+03,7.23,181,6340,1.393,13.771
FALSE POSITIVE,2.723858181,133.57632,1.4313,5.50E+03,7.13,23.8,4416,0.733,15.561
FALSE POSITIVE,0.635441862,131.966607,1.9827,1.48E+05,56.3,317.1,5780,1,16.675
FALSE POSITIVE,3.255189932,134.6015,2.7117,1.19E+02,1.39,38.3,5807,1.256,13.088
FALSE POSITIVE,2.531140101,132.49471,20.399,1.18E+04,32.12,304.2,5325,0.75,15.209
CONFIRMED,0.938750221,131.68256,1.3568,2.81E+02,1.46,47.4,5497,0.886,14.86
FALSE POSITIVE,2.992704682,133.29518,1.2585,3.61E+02,7.86,39.9,5908,3.915,13.957
FALSE POSITIVE,6.12810722,137.03456,2.824,2.34E+03,39.52,17.5,7245,1.667,13.186
FALSE POSITIVE,2.115511511,131.99137,8.5116,2.58E+04,36.16,153.3,4188,0.661,15.582
FALSE POSITIVE,2.446736567,133.968534,5.0201,4.16E+05,71.52,1037.3,5780,1,17.991
FALSE POSITIVE,21.3779536,157.8164,24.872,2.55E+05,173.18,101.9,4905,3.484,19.065
FALSE POSITIVE,4.350460215,132.27239,2.5276,5.04E+04,533.08,247.2,6585,1.416,15.929
FALSE POSITIVE,22.77194512,133.84261,10.1995,3.02E+04,251.93,208.6,5073,4.61,13.436
CONFIRMED,67.844689,149.5007,11.757,2.11E+02,2.65,18.9,5878,1.812,13.996
CONFIRMED,27.3214242,154.29833,4.836,2.80E+02,3.61,14.9,5592,1.451,14.513
FALSE POSITIVE,9.84883968,135.993,5.7425,2.20E+04,63.42,236.6,6938,1.31,16.35
FALSE POSITIVE,10.23335969,139.7882155,7.55,,,,,,11.614
FALSE POSITIVE,227.6625222,232.241995,5.5072,1.39E+04,44.24,227.5,6124,1.007,14.984
FALSE POSITIVE,1.06100873,132.521276,2.6715,6.37E+03,9.14,174.9,5080,0.947,15.564
FALSE POSITIVE,0.623393802,131.599128,1.40392,3.02E+04,28.21,867.8,4330,0.639,16.18
CONFIRMED,0.65355361,132.058957,1.63,4.60E+03,22.95,217.4,4550,0.66,15.692
CONFIRMED,2.3702932,133.6801,1.666,2.25E+02,1.29,7,5668,0.868,15.54
FALSE POSITIVE,0.566793534,131.8368,4.714,9.24E+01,122.64,40.4,3420,138.056,11.476
FALSE POSITIVE,1.873380717,131.795634,10.1083,5.39E+05,89.79,1513.7,5992,1.171,14.807
FALSE POSITIVE,1.87337894,131.796393,9.1328,5.44E+03,51.11,223.1,4740,5.721,12.708
FALSE POSITIVE,7.50023955,137.38848,2.916,2.73E+02,21.06,29,5849,0.919,13.61
FALSE POSITIVE,23.6270348,150.0362,11.481,8.43E+03,21.71,78.4,5305,0.857,16.375
FALSE POSITIVE,0.716709897,132.050846,0.7466,9.33E+02,66.73,47.6,5173,2.742,12.224
FALSE POSITIVE,2.248063246,132.75441,5.1297,6.32E+02,30.38,87.9,6325,1.112,14.434
FALSE POSITIVE,63.3278636,165.22656,47.0744,1.15E+04,54.17,619.6,4919,5.198,10.42
CONFIRMED,219.3215562,320.72862,12.4124,3.63E+03,6.11,93.8,6063,1.012,15.273
FALSE POSITIVE,245.4382021,361.302835,14.502,1.13E+04,19.17,844.7,5637,0.99,12.777
FALSE POSITIVE,178.4129899,218.225235,2.9298,3.75E+04,33.24,535.1,6078,1.148,13.944
FALSE POSITIVE,178.44973,217.6718259,12.86,,,,,,13.944
FALSE POSITIVE,2.192004364,132.218114,3.075,9.96E+04,37.56,298.7,5306,0.687,16.654
FALSE POSITIVE,3.900109346,133.380544,3.9037,1.26E+05,40.37,448,5791,0.969,16.597
FALSE POSITIVE,1.471060209,132.27522,4.3708,1.48E+05,165.15,563,8749,2.911,15.009
FALSE POSITIVE,0.73553763,131.5246162,2,,,,,,15.009
FALSE POSITIVE,213.3990406,274.209685,6.5043,1.39E+04,35.2,370.9,6960,1.83,13.381
FALSE POSITIVE,6.40802979,134.0732,2.9288,7.78E+03,51.44,108.2,6261,1.194,14.078
CANDIDATE,2.38920105,132.05991,3.15,,,,,,15.366
FALSE POSITIVE,0.962835804,132.198475,4.9844,1.43E+04,458.02,209.2,3982,32.244,10.82
FALSE POSITIVE,4.639602084,135.09909,3.4636,2.51E+04,19.96,131,6078,1.194,16.803
FALSE POSITIVE,2.991885335,134.17581,7.4319,1.36E+03,3.94,160.2,5750,0.839,14.011
FALSE POSITIVE,1.327471395,131.583734,5.2334,5.67E+03,7.08,218.7,5232,0.777,15.818
FALSE POSITIVE,0.566792595,131.817,2.637,1.99E+01,0.5,9.4,6277,1.121,12.982
FALSE POSITIVE,1.247156944,132.36584,2.6779,1.35E+05,26042.9,92.4,4770,9.67,17.474
CANDIDATE,288.3128666,374.79958,5.419,1.12E+04,13.21,96.8,5672,1.22,15.999
FALSE POSITIVE,2.119100054,132.59118,8.2163,1.65E+03,34.34,195.7,6292,1.078,13.835
FALSE POSITIVE,1.466535757,131.992658,0.8222,1.35E+03,4.28,86.1,5888,1.02,15.446
FALSE POSITIVE,8.870415578,137.481093,1.2864,8.73E+02,39.46,43.8,6022,1.514,13.579
FALSE POSITIVE,1.49131759,132.1676,4.721,2.58E+01,1.26,10.3,6014,2.429,13.953
CONFIRMED,19.57783279,131.71421,1.9857,4.33E+02,1.96,37.2,5620,0.884,12.624
FALSE POSITIVE,3.04476607,132.43708,9.568,2.73E+02,15.7,67,5627,0.818,14.506
CONFIRMED,70.9672087,182.66991,6.9623,7.85E+02,2.84,69.3,5818,0.986,12.72
FALSE POSITIVE,4.45543346,134.453921,5.116,2.46E+05,51.69,508.6,5780,1,17.046
FALSE POSITIVE,14.32388995,135.225964,4.83729,6.91E+04,45.93,834.3,5853,0.895,16.095
FALSE POSITIVE,20.42723232,135.862807,3.46429,1.22E+05,601.32,526.6,6167,1.121,16.677
CANDIDATE,106.18732,180.796,10.29,2.66E+02,231.85,8.6,3287,152.969,10.028
CONFIRMED,105.6552651,230.09865,9.39,1.37E+03,4.22,42.3,5741,1.136,15.356
FALSE POSITIVE,4.029803201,134.422433,4.4301,1.91E+05,47.58,352.3,6024,1.078,16.936
FALSE POSITIVE,1.303858554,131.606872,4.36797,1.27E+05,73.29,904,6282,1.343,15.475
CANDIDATE,9.74765878,139.16424,2.62,1.02E+02,0.78,11.6,5176,0.738,14.29
CONFIRMED,3.18899015,133.52624,2.722,6.62E+01,0.98,18.4,5700,1.176,13.351
CANDIDATE,309.89103,259.0588,16.4,3.21E+02,2.15,10.7,6450,1.155,14.706
FALSE POSITIVE,1.570518376,132.340523,3.2035,2.21E+03,450.76,76.7,5314,11.82,10.055
FALSE POSITIVE,115.9943364,139.57168,2.4136,3.76E+04,13.66,102.4,4530,0.735,15.852
FALSE POSITIVE,0.623441636,131.6792187,1.46001,1.93E+04,29.19,164.7,5319,0.654,15.626
FALSE POSITIVE,14.5417471,137.58734,5.6067,1.09E+03,163.25,71.2,5032,5.922,13.763
FALSE POSITIVE,2.81753381,132.8937,2.1551,3.84E+03,52.91,39.3,6313,1.098,14.248
CONFIRMED,0.762132307,131.61542,1.22,6.37E+01,0.75,11.5,5594,0.934,14.305
FALSE POSITIVE,56.6993107,146.1473,7.0706,5.82E+03,539.16,76.3,4727,13.547,11.356
FALSE POSITIVE,161.252247,189.10948,23.467,2.19E+03,4.49,84.1,5555,0.811,14.178
FALSE POSITIVE,0.867719291,132.165597,6.323,2.65E+03,37.79,157.1,6220,1.056,14.445
CANDIDATE,1.803697292,131.51365,1.5922,6.97E+01,1,25.8,6438,1.166,10.762
FALSE POSITIVE,0.84112187,132.164939,2.0431,7.51E+04,39.34,89.7,5048,0.707,16.055
FALSE POSITIVE,0.828326025,132.175806,1.42721,1.07E+04,49.67,164.5,5400,0.978,15.044
FALSE POSITIVE,1.219324537,131.94673,4.7501,3.79E+05,60.62,241,5455,0.897,16.4
FALSE POSITIVE,2.401751509,133.711919,2.0835,2.50E+04,268.75,83.1,4577,0.557,15.927
FALSE POSITIVE,36.97709537,133.6264,5.2063,2.17E+05,59.66,204.9,5780,1,17.066
FALSE POSITIVE,16.37188364,140.020073,3.44467,6.59E+04,70.73,639.8,5642,1.415,15.879
FALSE POSITIVE,2.617284592,132.390683,9.5545,2.31E+05,162.67,1215.2,5510,2.649,16.304
FALSE POSITIVE,10.14873521,136.02501,5.603,1.16E+05,71.11,250.9,6366,1.296,16.798
FALSE POSITIVE,2.897436854,132.038502,3.2833,2.90E+05,64.69,274.2,5780,1,17.687
CONFIRMED,5.546083089,133.50348,2.717,2.21E+03,22.27,56.4,7358,4.037,12.252
FALSE POSITIVE,6.87366398,136.13966,7.0845,9.77E+03,12.01,143.2,5662,0.805,15.933
FALSE POSITIVE,6.87366412,132.4575658,4.85,,,,,,15.933
FALSE POSITIVE,0.668483494,132.156558,2.4129,7.23E+05,138.76,334.3,5780,1,18.792
FALSE POSITIVE,1.070272827,131.835891,4.2844,9.89E+03,28.73,284,4628,0.653,15.926
FALSE POSITIVE,0.977170246,132.23783,3.4842,1.51E+02,5.08,94.5,5596,3.938,12.439
FALSE POSITIVE,1.135930136,132.396556,4.5036,2.72E+04,52.05,551.7,6247,0.954,15.524
FALSE POSITIVE,1.801863222,132.48449,7.2492,2.63E+05,145.36,463.4,7479,2.324,12.796
FALSE POSITIVE,54.77145968,143.74319,37.1871,7.22E+03,34.32,751.1,5145,3.866,13.939
FALSE POSITIVE,1.674690886,132.172107,2.0179,5.27E+02,29.78,118.6,6397,1.157,13.593
